id,crop_type,crop_week,kc_value,created_at,updated_at
77,sugarcane,45,0.900,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
78,sugarcane,46,0.900,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
79,sugarcane,47,0.900,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
80,sugarcane,48,0.900,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
81,sugarcane,49,0.750,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
82,sugarcane,50,0.750,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
83,sugarcane,51,0.750,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
84,sugarcane,52,0.750,2025-07-10 08:24:59.417721,2025-07-10 08:24:59.417721
9,rice,9,1.420,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.344721
10,rice,10,1.340,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.346654
11,rice,11,1.230,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.347872
12,rice,12,0.940,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.349357
13,rice,13,0.860,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.351099
17,corn,1,0.630,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.352078
18,corn,2,0.720,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.353063
19,corn,3,0.860,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.354026
20,corn,4,1.130,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.354998
21,corn,5,1.350,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.355893
22,corn,6,1.520,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.356702
23,corn,7,1.610,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.357496
24,corn,8,1.630,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.35831
14,rice,14,1.140,2025-07-10 08:24:59.41435,2025-07-10 08:31:38.459128
15,rice,15,0.820,2025-07-10 08:24:59.41435,2025-07-10 08:31:38.459629
16,rice,16,0.760,2025-07-10 08:24:59.41435,2025-07-10 08:31:38.460208
85,rice,17,0.820,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
86,rice,18,1.090,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
87,rice,19,1.360,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
88,rice,20,0.600,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
89,rice,21,0.580,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
90,rice,22,0.880,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
91,rice,23,0.650,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
92,rice,24,0.760,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
93,rice,25,0.680,2025-07-10 08:31:38.513223,2025-07-10 08:31:38.513223
25,corn,9,1.580,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.359082
26,corn,10,1.500,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.359831
27,corn,11,1.380,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.360703
28,corn,12,1.150,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.361545
29,corn,13,0.900,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.362363
30,corn,14,0.670,2025-07-10 08:24:59.416523,2025-07-10 14:56:28.363181
33,sugarcane,1,0.650,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.363925
34,sugarcane,2,0.650,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.364714
35,sugarcane,3,0.650,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.365547
36,sugarcane,4,0.650,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.366361
37,sugarcane,5,0.650,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.36716
38,sugarcane,6,0.860,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.367948
39,sugarcane,7,0.860,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.368766
40,sugarcane,8,0.860,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.369583
31,corn,15,0.910,2025-07-10 08:24:59.416523,2025-07-10 08:31:38.528453
32,corn,16,0.800,2025-07-10 08:24:59.416523,2025-07-10 08:31:38.529006
1,rice,1,1.030,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.332699
2,rice,2,1.070,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.335973
3,rice,3,1.120,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.338105
4,rice,4,1.290,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.339299
5,rice,5,1.380,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.340385
6,rice,6,1.450,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.341424
7,rice,7,1.500,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.342493
8,rice,8,1.480,2025-07-10 08:24:59.41435,2025-07-10 14:56:28.343664
41,sugarcane,9,0.860,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.370525
42,sugarcane,10,1.130,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.371402
43,sugarcane,11,1.130,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.37225
44,sugarcane,12,1.130,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.373119
45,sugarcane,13,1.130,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.373957
46,sugarcane,14,1.350,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.374714
47,sugarcane,15,1.350,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.375796
48,sugarcane,16,1.350,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.376768
49,sugarcane,17,1.350,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.377707
50,sugarcane,18,1.350,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.378534
51,sugarcane,19,1.560,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.379436
52,sugarcane,20,1.560,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.381025
53,sugarcane,21,1.560,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.38192
54,sugarcane,22,1.560,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.382715
55,sugarcane,23,1.290,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.383664
56,sugarcane,24,1.290,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.384691
57,sugarcane,25,1.290,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.385561
58,sugarcane,26,1.290,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.386385
59,sugarcane,27,1.200,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.38719
60,sugarcane,28,1.200,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.388012
61,sugarcane,29,1.200,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.389106
62,sugarcane,30,1.200,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.38992
63,sugarcane,31,1.200,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.390729
64,sugarcane,32,0.930,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.391493
65,sugarcane,33,0.930,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.39227
66,sugarcane,34,0.930,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.393186
67,sugarcane,35,0.930,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.394045
68,sugarcane,36,0.630,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.394838
69,sugarcane,37,0.630,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.395732
70,sugarcane,38,0.630,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.396804
71,sugarcane,39,0.630,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.397782
72,sugarcane,40,0.630,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.398566
73,sugarcane,41,0.520,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.399344
74,sugarcane,42,0.520,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.40011
75,sugarcane,43,0.520,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.400922
76,sugarcane,44,0.520,2025-07-10 08:24:59.417721,2025-07-10 14:56:28.401853
